"statsbomb_id","wyscout_id"
431076,676992
431077,638277
431079,1049517
431092,1048327
431124,627312
431130,1049489
431131,1049487
431134,814225
431170,1067297
431543,900124
431552,1049591
431588,1049483
431589,1049485
432256,1072088
432749,910140
435983,1080773
436263,910141
436493,1049484
436940,1045944
439768,882835
439942,942330
