matchId,playerid,total_distance_session,sprint_distance_session
5551830,40839,2330.0878,19.3141
5551830,658711,3859.3566,42.3853
5551830,809999,1239.0014,
5551826,730467,5701.7876,137.9961
5551826,370748,7428.3592,199.8475
5551826,48922,6671.5012,212.6331
5551826,56631,6759.5861,71.8076
5551826,95364,8243.1332,46.0548
5551826,726976,10866.4308,288.2837
5551826,809505,10780.1795,235.6779
5551826,437322,9853.8831,288.8693
5551826,709,2744.6821,47.4759
5551826,656519,4524.3627,162.6811
5551826,54494,8637.1323,105.0373
5551826,285529,10663.7174,248.0461
5551826,727064,2322.3022,40.5901
5551826,658566,2527.1369,32.1827
5551826,215411,3336.2403,182.3396
5551826,95580,8098.8937,205.9384
5551826,578392,9742.956,122.9291
5551826,365827,8800.8707,127.2877
5551826,900099,9154.3023,166.9673
5551826,603322,8404.1003,163.7748
5551826,299292,10204.3212,414.3982
5551826,1049476,10652.7114,242.2278
5551826,137661,9483.0081,96.9917
5551826,493181,10723.913,128.4571
5551826,602161,11272.3507,254.4791
5551826,94828,2050.8988,49.1582
5551826,128607,2859.9206,72.304
5551826,599063,1231.8043,6.7535
5551827,299278,6660.6879,362.7787
5551827,416959,8841.499,172.8312
5551827,534330,8523.2538,120.1438
5551827,534326,9252.0724,88.4619
5551827,365898,9289.9445,131.2009
5551827,489828,10203.5045,403.0019
5551827,937675,10280.9967,248.6428
5551827,345673,10315.15,190.7677
5551827,489814,1038.568,16.1245
5551827,299319,2104.3635,12.5018
5551827,437639,9106.8552,96.6244
5551827,363816,10364.3991,138.3921
5551827,494201,2151.8993,17.0058
5551827,253836,3641.3304,126.4743
5551827,170296,5899.3833,71.0159
5551827,365852,9443.226,86.6477
5551827,494211,4778.542,6.7917000000000005
5551827,46866,7487.8397,24.1275
5551827,145415,9306.7619,172.8332
5551827,486833,10687.3281,270.7297
5551827,810066,9665.6081,136.3726
5551827,602138,9838.3383,176.0952
5551827,594421,9825.5788,291.3887
5551827,95324,10514.0119,172.9129
5551827,494222,11398.7011,145.9468
5551827,136542,2816.3719,29.1591
5551827,374528,5465.4933,132.2223
5551827,514677,1504.6068,10.1926
5551828,95238,9216.0867,244.6744
5551828,645446,7814.5222,113.8652
5551828,644710,8143.8545,264.9964
5551828,94646,8120.4993,113.4754
5551828,95449,9719.1853,119.3333
5551828,810118,9927.7238,241.6167
5551828,43027,8728.3876,294.7719
5551828,810126,2381.4842,35.0191
5551828,607433,11052.4232,252.737
5551828,165441,10071.4261,192.4428
5551828,677038,10405.7367,260.8665
5551828,881430,1184.6805,8.1376
5551828,638234,2499.9994,161.767
5551828,94633,1036.6994,11.7579
5551828,658024,7457.4264,179.1338
5551828,365819,7316.9008,179.4728
5551828,896333,8964.3291,250.8407
5551828,494212,9053.5259,130.6128
5551828,94751,8931.4911,110.2533
5551828,299295,11125.1987,137.7355
5551828,654655,10365.5004,233.4926
5551828,638271,5044.2162,
5551828,627312,8627.5091,264.2844
5551828,20517,10128.1544,279.4247
5551828,165445,1763.592,
5551828,144294,2705.101,126.702
5551828,299324,638.2459,15.444
5551828,789009,10434.8631,284.6113
5551828,602172,1414.5793,11.6696
5551828,928464,3196.5159,145.0535
5551829,95262,7494.5301,214.2923
5551829,287788,8980.2092,68.4708
5551829,676945,8634.3788,47.8056
5551829,730725,8175.4606,200.1414
5551829,603425,4894.9458,18.6412
5551829,598595,8386.2857,274.5446
5551829,561129,8947.0053,75.707
5551829,599059,9647.4582,154.094
